source,value,target,town
Total Spending,1469533,Culture and Recreation,Westborough
Total Spending,20169668,Fixed Costs,Westborough
Total Spending,647385,Intergovernmental Assessments,Westborough
Total Spending,24637,Other Expenditures,Westborough
Total Spending,12827607,Debt Service,Westborough
Residential Levy,60216050.16,Tax Levy,Westfield
Open Space Levy,0,Tax Levy,Westfield
Commercial Levy,12977263.91,Tax Levy,Westfield
Industrial Levy,5911826.83,Tax Levy,Westfield
Personal Prop Levy,5905231.2,Tax Levy,Westfield
Tax Levy,85010372.1,Total Revenue,Westfield
State Aid,48454749,Total Revenue,Westfield
Local Receipts,20133321,Total Revenue,Westfield
Enterprise & CPA Funds,17319585.29,Total Revenue,Westfield
Other Revenue,8289160.57,Total Revenue,Westfield
Total Revenue,133072819,Total Spending,Westfield
Total Revenue,46134368.95999998,Budget Surplus,Westfield
Budget Defecit,0,Total Spending,Westfield
Total Spending,10495100,General Government,Westfield
Total Spending,8316172,Police,Westfield
Total Spending,5734917,Fire,Westfield
Total Spending,1199701,Other Public Safety,Westfield
Total Spending,65159613,Education,Westfield
Total Spending,11293993,Public Works,Westfield
Total Spending,1754249,Human Services,Westfield
Total Spending,1441191,Culture and Recreation,Westfield
Total Spending,14222961,Fixed Costs,Westfield
Total Spending,4310710,Intergovernmental Assessments,Westfield
Total Spending,2297639,Other Expenditures,Westfield
Total Spending,6846573,Debt Service,Westfield
Residential Levy,80754796.59,Tax Levy,Westford
Open Space Levy,0,Tax Levy,Westford
Commercial Levy,5185295.87,Tax Levy,Westford
Industrial Levy,3182866.18,Tax Levy,Westford
Personal Prop Levy,1714740.42,Tax Levy,Westford
Tax Levy,90837699.06,Total Revenue,Westford
State Aid,20722236,Total Revenue,Westford
Local Receipts,8266130.84,Total Revenue,Westford
Enterprise & CPA Funds,10283093,Total Revenue,Westford
Other Revenue,2979071.54,Total Revenue,Westford
Total Revenue,108483770,Total Spending,Westford
Total Revenue,24604460.440000013,Budget Surplus,Westford
Budget Defecit,0,Total Spending,Westford
Total Spending,5532965,General Government,Westford
Total Spending,5947165,Police,Westford
Total Spending,4502975,Fire,Westford
Total Spending,1360548,Other Public Safety,Westford
Total Spending,65388178,Education,Westford
Total Spending,6230873,Public Works,Westford
Total Spending,1124970,Human Services,Westford
Total Spending,2069081,Culture and Recreation,Westford
Total Spending,8845214,Fixed Costs,Westford
Total Spending,561893,Intergovernmental Assessments,Westford
Total Spending,1052987,Other Expenditures,Westford
Total Spending,5866921,Debt Service,Westford
Residential Levy,4983565.12,Tax Levy,Westhampton
Open Space Levy,0,Tax Levy,Westhampton
Commercial Levy,139055.28,Tax Levy,Westhampton
Industrial Levy,27220.45,Tax Levy,Westhampton
Personal Prop Levy,134829.81,Tax Levy,Westhampton
Tax Levy,5284670.66,Total Revenue,Westhampton
State Aid,843032,Total Revenue,Westhampton
Local Receipts,489195,Total Revenue,Westhampton
Enterprise & CPA Funds,0,Total Revenue,Westhampton
Other Revenue,1010521.67,Total Revenue,Westhampton
Total Revenue,6576420,Total Spending,Westhampton
Total Revenue,1050999.33,Budget Surplus,Westhampton
Budget Defecit,0,Total Spending,Westhampton
Total Spending,348460,General Government,Westhampton
Total Spending,111346,Police,Westhampton
Total Spending,44142,Fire,Westhampton
Total Spending,87079,Other Public Safety,Westhampton
Total Spending,3793600,Education,Westhampton
Total Spending,978018,Public Works,Westhampton
Total Spending,38141,Human Services,Westhampton
Total Spending,117764,Culture and Recreation,Westhampton
Total Spending,678102,Fixed Costs,Westhampton
Total Spending,2230,Intergovernmental Assessments,Westhampton
Total Spending,120738,Other Expenditures,Westhampton
Total Spending,256800,Debt Service,Westhampton
Residential Levy,17247858.18,Tax Levy,Westminster
Open Space Levy,0,Tax Levy,Westminster
Commercial Levy,786077.66,Tax Levy,Westminster
Industrial Levy,557567.97,Tax Levy,Westminster
Personal Prop Levy,738755.66,Tax Levy,Westminster
Tax Levy,19330259.47,Total Revenue,Westminster
State Aid,1160089,Total Revenue,Westminster
Local Receipts,3090894,Total Revenue,Westminster
Enterprise & CPA Funds,3120710,Total Revenue,Westminster
Other Revenue,6072402,Total Revenue,Westminster
Total Revenue,25785366,Total Spending,Westminster
Total Revenue,6988988.469999999,Budget Surplus,Westminster
Budget Defecit,0,Total Spending,Westminster
Total Spending,1896972,General Government,Westminster
Total Spending,2407255,Police,Westminster
Total Spending,1158948,Fire,Westminster
Total Spending,968412,Other Public Safety,Westminster
Total Spending,11595873,Education,Westminster
Total Spending,3964035,Public Works,Westminster
Total Spending,370390,Human Services,Westminster
Total Spending,540341,Culture and Recreation,Westminster
Total Spending,2563937,Fixed Costs,Westminster
Total Spending,65636,Intergovernmental Assessments,Westminster
Total Spending,2899,Other Expenditures,Westminster
Total Spending,250668,Debt Service,Westminster
Residential Levy,86767506.29,Tax Levy,Weston
Open Space Levy,0,Tax Levy,Weston
Commercial Levy,2626536.11,Tax Levy,Weston
Industrial Levy,117948.9,Tax Levy,Weston
Personal Prop Levy,1235255.36,Tax Levy,Weston
Tax Levy,90747246.66,Total Revenue,Weston
State Aid,4604872,Total Revenue,Weston
Local Receipts,5821610,Total Revenue,Weston
Enterprise & CPA Funds,13998179,Total Revenue,Weston
Other Revenue,2566311,Total Revenue,Weston
Total Revenue,96214442,Total Spending,Weston
Total Revenue,21523776.659999996,Budget Surplus,Weston
Budget Defecit,0,Total Spending,Weston
Total Spending,5807075,General Government,Weston
Total Spending,4260438,Police,Weston
Total Spending,4104646,Fire,Weston
Total Spending,309398,Other Public Safety,Weston
Total Spending,44724337,Education,Weston
Total Spending,5703508,Public Works,Weston
Total Spending,877262,Human Services,Weston
Total Spending,1544415,Culture and Recreation,Weston
Total Spending,18866184,Fixed Costs,Weston
Total Spending,291495,Intergovernmental Assessments,Weston
Total Spending,0,Other Expenditures,Weston
Total Spending,9725684,Debt Service,Weston
Residential Levy,33595780.11,Tax Levy,Westport
Open Space Levy,0,Tax Levy,Westport
Commercial Levy,1756322.05,Tax Levy,Westport
Industrial Levy,158248.59,Tax Levy,Westport
Personal Prop Levy,1006956.48,Tax Levy,Westport
Tax Levy,36517307.23,Total Revenue,Westport
State Aid,7670317,Total Revenue,Westport
Local Receipts,5405100,Total Revenue,Westport
Enterprise & CPA Funds,2356504,Total Revenue,Westport
Other Revenue,2017940.93,Total Revenue,Westport
Total Revenue,50162205,Total Spending,Westport
Total Revenue,3804964.1599999964,Budget Surplus,Westport
Budget Defecit,0,Total Spending,Westport
Total Spending,3712804,General Government,Westport
Total Spending,3983353,Police,Westport
Total Spending,2775699,Fire,Westport
Total Spending,297399,Other Public Safety,Westport
Total Spending,23065016,Education,Westport
Total Spending,1692989,Public Works,Westport
Total Spending,1004898,Human Services,Westport
Total Spending,353833,Culture and Recreation,Westport
Total Spending,6755211,Fixed Costs,Westport
Total Spending,1866260,Intergovernmental Assessments,Westport
Total Spending,3295,Other Expenditures,Westport
Total Spending,4651448,Debt Service,Westport
Residential Levy,67819817.69,Tax Levy,Westwood
Open Space Levy,0,Tax Levy,Westwood
Commercial Levy,15776531.73,Tax Levy,Westwood
Industrial Levy,3480797.01,Tax Levy,Westwood
Personal Prop Levy,3197265.41,Tax Levy,Westwood
Tax Levy,90274411.84,Total Revenue,Westwood
State Aid,8345478,Total Revenue,Westwood
Local Receipts,4195857,Total Revenue,Westwood
Enterprise & CPA Funds,5597005,Total Revenue,Westwood
Other Revenue,5153703,Total Revenue,Westwood
Total Revenue,104995329,Total Spending,Westwood
Total Revenue,8571125.840000004,Budget Surplus,Westwood
Budget Defecit,0,Total Spending,Westwood
Total Spending,4991798,General Government,Westwood
Total Spending,5347189,Police,Westwood
Total Spending,6247737,Fire,Westwood
Total Spending,509446,Other Public Safety,Westwood
Total Spending,53415372,Education,Westwood
Total Spending,8030653,Public Works,Westwood
Total Spending,1411896,Human Services,Westwood
Total Spending,2089041,Culture and Recreation,Westwood
Total Spending,15736752,Fixed Costs,Westwood
Total Spending,789382,Intergovernmental Assessments,Westwood
Total Spending,607144,Other Expenditures,Westwood
Total Spending,5818919,Debt Service,Westwood
Residential Levy,103814594.47,Tax Levy,Weymouth
Open Space Levy,0,Tax Levy,Weymouth
Commercial Levy,14165354.38,Tax Levy,Weymouth
Industrial Levy,8047685.25,Tax Levy,Weymouth
Personal Prop Levy,4511817.92,Tax Levy,Weymouth
Tax Levy,130539452.02,Total Revenue,Weymouth
State Aid,41035082,Total Revenue,Weymouth
Local Receipts,15952405,Total Revenue,Weymouth
Enterprise & CPA Funds,31325960,Total Revenue,Weymouth
Other Revenue,9873754,Total Revenue,Weymouth
Total Revenue,167780620,Total Spending,Weymouth
Total Revenue,60946033.01999998,Budget Surplus,Weymouth
Budget Defecit,0,Total Spending,Weymouth
Total Spending,7483168,General Government,Weymouth
Total Spending,14457685,Police,Weymouth
Total Spending,11019055,Fire,Weymouth
Total Spending,700468,Other Public Safety,Weymouth
Total Spending,86205293,Education,Weymouth
Total Spending,11030192,Public Works,Weymouth
Total Spending,1054834,Human Services,Weymouth
Total Spending,2615682,Culture and Recreation,Weymouth
Total Spending,15549346,Fixed Costs,Weymouth
Total Spending,3099523,Intergovernmental Assessments,Weymouth
Total Spending,22342,Other Expenditures,Weymouth
Total Spending,14543032,Debt Service,Weymouth
Residential Levy,3678148.4,Tax Levy,Whately
Open Space Levy,56203.25,Tax Levy,Whately
Commercial Levy,376849.21,Tax Levy,Whately
Industrial Levy,343090.46,Tax Levy,Whately
Personal Prop Levy,248391.44,Tax Levy,Whately
Tax Levy,4702682.76,Total Revenue,Whately
State Aid,743572,Total Revenue,Whately
Local Receipts,414700,Total Revenue,Whately
Enterprise & CPA Funds,826804,Total Revenue,Whately
Other Revenue,497472,Total Revenue,Whately
Total Revenue,5968137,Total Spending,Whately
Total Revenue,1217093.7599999998,Budget Surplus,Whately
Budget Defecit,0,Total Spending,Whately
Total Spending,632680,General Government,Whately
Total Spending,230616,Police,Whately
Total Spending,74149,Fire,Whately
Total Spending,123992,Other Public Safety,Whately
Total Spending,3296538,Education,Whately
Total Spending,521396,Public Works,Whately
Total Spending,64264,Human Services,Whately
Total Spending,150918,Culture and Recreation,Whately
Total Spending,683182,Fixed Costs,Whately
Total Spending,141743,Intergovernmental Assessments,Whately
Total Spending,0,Other Expenditures,Whately
Total Spending,48659,Debt Service,Whately
Residential Levy,27235495.55,Tax Levy,Whitman
Open Space Levy,0,Tax Levy,Whitman
Commercial Levy,1505029.12,Tax Levy,Whitman
Industrial Levy,356083.79,Tax Levy,Whitman
Personal Prop Levy,1269535.68,Tax Levy,Whitman
Tax Levy,30366144.14,Total Revenue,Whitman
State Aid,3241000,Total Revenue,Whitman
Local Receipts,5222569,Total Revenue,Whitman
Enterprise & CPA Funds,6319742.5,Total Revenue,Whitman
Other Revenue,3523858.27,Total Revenue,Whitman
Total Revenue,39093608,Total Spending,Whitman
Total Revenue,9579705.910000004,Budget Surplus,Whitman
Budget Defecit,0,Total Spending,Whitman
Total Spending,2487424,General Government,Whitman
Total Spending,3647080,Police,Whitman
Total Spending,4043551,Fire,Whitman
Total Spending,294408,Other Public Safety,Whitman
Total Spending,19414506,Education,Whitman
Total Spending,2529084,Public Works,Whitman
Total Spending,532426,Human Services,Whitman
Total Spending,551457,Culture and Recreation,Whitman
Total Spending,4751609,Fixed Costs,Whitman
Total Spending,201097,Intergovernmental Assessments,Whitman
Total Spending,3429,Other Expenditures,Whitman
Total Spending,637537,Debt Service,Whitman
Residential Levy,37930907.6,Tax Levy,Wilbraham
Open Space Levy,0,Tax Levy,Wilbraham
Commercial Levy,2855941.16,Tax Levy,Wilbraham
Industrial Levy,658102.97,Tax Levy,Wilbraham
Personal Prop Levy,1268886.52,Tax Levy,Wilbraham
Tax Levy,42713838.25,Total Revenue,Wilbraham
State Aid,1906052,Total Revenue,Wilbraham
Local Receipts,3297921.89,Total Revenue,Wilbraham
Enterprise & CPA Funds,5146655,Total Revenue,Wilbraham
Other Revenue,4473077,Total Revenue,Wilbraham
Total Revenue,47283785,Total Spending,Wilbraham
Total Revenue,10253759.14,Budget Surplus,Wilbraham
Budget Defecit,0,Total Spending,Wilbraham
Total Spending,3278314,General Government,Wilbraham
Total Spending,2710366,Police,Wilbraham
Total Spending,2254617,Fire,Wilbraham
Total Spending,729190,Other Public Safety,Wilbraham
Total Spending,27994699,Education,Wilbraham
Total Spending,2895274,Public Works,Wilbraham
Total Spending,415826,Human Services,Wilbraham
Total Spending,1284191,Culture and Recreation,Wilbraham
Total Spending,4873980,Fixed Costs,Wilbraham
Total Spending,121101,Intergovernmental Assessments,Wilbraham
Total Spending,0,Other Expenditures,Wilbraham
Total Spending,726227,Debt Service,Wilbraham
Residential Levy,6403173.91,Tax Levy,Williamsburg
Open Space Levy,0,Tax Levy,Williamsburg
Commercial Levy,354680.1,Tax Levy,Williamsburg
Industrial Levy,47300.98,Tax Levy,Williamsburg
Personal Prop Levy,247442.63,Tax Levy,Williamsburg
Tax Levy,7052597.62,Total Revenue,Williamsburg
State Aid,1304793,Total Revenue,Williamsburg
Local Receipts,522866,Total Revenue,Williamsburg
Enterprise & CPA Funds,454765,Total Revenue,Williamsburg
Other Revenue,467432.85,Total Revenue,Williamsburg
Total Revenue,8337254,Total Spending,Williamsburg
Total Revenue,1465200.4700000007,Budget Surplus,Williamsburg
Budget Defecit,0,Total Spending,Williamsburg
Total Spending,610484,General Government,Williamsburg
Total Spending,256500,Police,Williamsburg
Total Spending,158353,Fire,Williamsburg
Total Spending,230730,Other Public Safety,Williamsburg
Total Spending,4330490,Education,Williamsburg
Total Spending,729927,Public Works,Williamsburg
Total Spending,119560,Human Services,Williamsburg
Total Spending,206394,Culture and Recreation,Williamsburg
Total Spending,1062111,Fixed Costs,Williamsburg
Total Spending,219175,Intergovernmental Assessments,Williamsburg
Total Spending,0,Other Expenditures,Williamsburg
Total Spending,413530,Debt Service,Williamsburg
Residential Levy,17435870.58,Tax Levy,Williamstown
Open Space Levy,0,Tax Levy,Williamstown
Commercial Levy,1506159.94,Tax Levy,Williamstown
Industrial Levy,160453.29,Tax Levy,Williamstown
Personal Prop Levy,403712.15,Tax Levy,Williamstown
Tax Levy,19506195.96,Total Revenue,Williamstown
State Aid,1411920,Total Revenue,Williamstown
Local Receipts,2199810.29,Total Revenue,Williamstown
Enterprise & CPA Funds,6246276.62,Total Revenue,Williamstown
Other Revenue,1147019,Total Revenue,Williamstown
Total Revenue,23582114,Total Spending,Williamstown
Total Revenue,6929107.870000001,Budget Surplus,Williamstown
Budget Defecit,0,Total Spending,Williamstown
Total Spending,1725092,General Government,Williamstown
Total Spending,1620764,Police,Williamstown
Total Spending,0,Fire,Williamstown
Total Spending,316542,Other Public Safety,Williamstown
Total Spending,13171571,Education,Williamstown
Total Spending,2517130,Public Works,Williamstown
Total Spending,424511,Human Services,Williamstown
Total Spending,702707,Culture and Recreation,Williamstown
Total Spending,2497824,Fixed Costs,Williamstown
Total Spending,43335,Intergovernmental Assessments,Williamstown
Total Spending,4950,Other Expenditures,Williamstown
Total Spending,557688,Debt Service,Williamstown
Residential Levy,57120536.75,Tax Levy,Wilmington
Open Space Levy,0,Tax Levy,Wilmington
Commercial Levy,5823188.38,Tax Levy,Wilmington
Industrial Levy,29690049.84,Tax Levy,Wilmington
Personal Prop Levy,5613776.06,Tax Levy,Wilmington
Tax Levy,98247551.03,Total Revenue,Wilmington
State Aid,15049313,Total Revenue,Wilmington
Local Receipts,7561910.56,Total Revenue,Wilmington
Enterprise & CPA Funds,3601290,Total Revenue,Wilmington
Other Revenue,23557790,Total Revenue,Wilmington
Total Revenue,106943076,Total Spending,Wilmington
Total Revenue,41074778.59,Budget Surplus,Wilmington
Budget Defecit,0,Total Spending,Wilmington
Total Spending,6151902,General Government,Wilmington
